gene,obs,exp,obs - exp
ENC1,1,0.08903757076988626,0.9109624292301137
GRWD1,1,0.08955679571473707,0.9104432042852629
ADCY3,1,0.09049557098314982,0.9095044290168501
POU5F1,1,0.09082950223248476,0.9091704977675152
RFC1,1,0.09179587974061032,0.9082041202593897
PDS5B,1,0.09207721458950704,0.907922785410493
NTSR2,1,0.09241323681445293,0.9075867631855471
HCFC1,1,0.09252038284535827,0.9074796171546418
CEP290,1,0.09253786479446699,0.907462135205533
RFX3,1,0.0928462709284494,0.9071537290715506
GPATCH8,1,0.0930887606490691,0.9069112393509309
ACVR2B,1,0.09344790547795807,0.9065520945220419
HLA-B,1,0.09346497414161808,0.906535025858382
CNOT3,1,0.09388277668193655,0.9061172233180634
GBP1,1,0.09454867779715219,0.9054513222028479
RBKS,1,0.09467908638494756,0.9053209136150524
FAM123A,1,0.09489179006416959,0.9051082099358304
CD109,1,0.09528670491619667,0.9047132950838033
TUBA1A,1,0.0958786772713476,0.9041213227286524
B4GALNT3,1,0.09694501018187311,0.9030549898181269
PUS1,1,0.09735349716533025,0.9026465028346697
OR4Q3,1,0.09767072525214278,0.9023292747478572
MFN1,1,0.09775852326183776,0.9022414767381622
KRT79,1,0.09799693310340919,0.9020030668965908
OSBP2,1,0.09831297265507837,0.9016870273449217
TTC39A,1,0.09855472438409851,0.9014452756159015
CDON,1,0.0985772357723727,0.9014227642276273
NCOA7,1,0.09898989898889285,0.9010101010111071
EGFL8,1,0.09919742771916798,0.900802572280832
MYF5,1,0.09923118705322073,0.9007688129467792
ARAP2,1,0.10024167279555352,0.8997583272044465
RUFY1,1,0.10048522817787565,0.8995147718221244
GSTM3,1,0.10063157894743449,0.8993684210525655
ZNF460,1,0.10112275449218298,0.898877245507817
NRCAM,1,0.10140405616268167,0.8985959438373183
MED21,1,0.10140636565526297,0.898593634344737
KIF27,1,0.10184010152267137,0.8981598984773287
DYSF,1,0.10234953331188625,0.8976504666881138
KCNN3,1,0.10240052614425786,0.8975994738557421
SLC6A9,1,0.10253042035680503,0.897469579643195
IMPG2,1,0.10265450020733836,0.8973454997926616
CAGE1,1,0.10350164442201423,0.8964983555779857
SEMA4A,1,0.10353611027904329,0.8964638897209567
ZNF43,1,0.1036983321237975,0.8963016678762025
SCAND3,1,0.10424710424710837,0.8957528957528916
OR2L13,1,0.10437710437654081,0.8956228956234592
C9orf171,1,0.10473683131369847,0.8952631686863015
POLR3B,1,0.10494571773229686,0.8950542822677031
ZPBP,1,0.10547730829342923,0.8945226917065707
PGBD1,1,0.10552459413604066,0.8944754058639593
SLC43A1,1,0.10571762439836366,0.8942823756016364
HDAC2,1,0.10638991474902992,0.8936100852509701
CASP10,1,0.10657904262555182,0.8934209573744482
SMC5,1,0.10811288100463542,0.8918871189953645
GPR112,2,1.1081308197545687,0.8918691802454313
TLE6,1,0.10847603353345743,0.8915239664665425
TRIM45,1,0.10877969593989185,0.8912203040601081
ETF1,1,0.10937205355522353,0.8906279464447765
ARHGEF4,1,0.10946228571704827,0.8905377142829517
NPC1,1,0.10959999999999577,0.8904000000000042
WEE2,1,0.10963698518790155,0.8903630148120985
VRK3,1,0.10967307127514765,0.8903269287248523
SPAM1,1,0.1099999999999984,0.8900000000000016
VASH1,1,0.11019194601876071,0.8898080539812393
C6orf106,1,0.11069176209185431,0.8893082379081457
