gene,pi,ll,llr,mut_count,mut_freq,mut_frac
FGD6,1.5543122344752194e-15,-1.3683099672710413,-5.595524044110789e-13,1,1,1.0
FRYL,1.5543122344752194e-15,-1.5948597495155878,-5.595524044110789e-13,1,1,1.0
LRP5,1.5543122344752194e-15,-1.364422286302495,-5.595524044110789e-13,1,1,1.0
KIAA1217,1.5543122344752194e-15,-1.3279223548982446,-5.59996493620929e-13,1,1,1.0
TRNT1,1.5543122344752194e-15,-1.344534640092086,-5.59996493620929e-13,1,1,1.0
FAT4,1.5543122344752194e-15,-1.333175469772239,-5.60440582830779e-13,1,1,1.0
COL2A1,1.5543122344752194e-15,-1.3293525352058242,-5.60440582830779e-13,1,1,1.0
ALG13,1.5543122344752194e-15,-1.3227809553981689,-5.60440582830779e-13,1,1,1.0
ADCY10,1.5543122344752194e-15,-1.323596108326736,-5.60440582830779e-13,1,1,1.0
MYO3A,1.5543122344752194e-15,-1.3356128746439102,-5.60440582830779e-13,1,1,1.0
PKHD1L1,1.5543122344752194e-15,-1.3223006506889834,-5.60440582830779e-13,1,1,1.0
C5,1.5543122344752194e-15,-5.184944997236299,-5.648814749292796e-13,1,1,1.0
MUC16,1.5543122344752194e-15,-7.576887708005698,-5.648814749292796e-13,3,3,1.0
TET2,1.4432899320127037e-15,-6.429012493345338,-5.648814749292796e-13,4,4,1.0
ABCB11,1.6653345369377348e-15,-1.420091740703201,-5.995204332975845e-13,1,1,1.0
SPDYA,1.5543122344752194e-15,-1.3865840063084127,-6.004086117172848e-13,1,1,1.0
LAMA5,1.6653345369377348e-15,-1.4094718345298411,-6.012967901369848e-13,1,1,1.0
SHQ1,1.5543122344752194e-15,-1.3817385445803037,-6.017408793468348e-13,1,1,1.0
RYR3,1.5543122344752194e-15,-1.752825213902116,-6.017408793468348e-13,2,2,1.0
C9orf78,1.6653345369377348e-15,-1.41065381929032,-6.017408793468348e-13,1,1,1.0
CLVS2,1.5543122344752194e-15,-1.3784511836591689,-6.039613253960853e-13,1,1,1.0
TBC1D8B,1.887379141862766e-15,-1.4619655307909407,-6.3815619455454e-13,1,1,1.0
C19orf46,1.887379141862766e-15,-1.467384518348218,-6.3815619455454e-13,1,1,1.0
PLCH2,1.887379141862766e-15,-1.466586787859661,-6.3815619455454e-13,1,1,1.0
OR5M1,1.887379141862766e-15,-1.4615177823578018,-6.3815619455454e-13,1,1,1.0
PCDH15,1.887379141862766e-15,-1.4550307894718124,-6.3815619455454e-13,1,1,1.0
ACSM2A,1.6653345369377348e-15,-1.4365001078170747,-6.390443729742401e-13,1,1,1.0
DNMT1,1.6653345369377348e-15,-1.4308828384385848,-6.390443729742401e-13,1,1,1.0
SDK1,1.887379141862766e-15,-1.4373779899272918,-6.390443729742401e-13,1,1,1.0
LRBA,1.6653345369377348e-15,-1.4400362089803378,-6.390443729742401e-13,1,1,1.0
C22orf42,1.6653345369377348e-15,-1.426840455515368,-6.394884621840903e-13,1,1,1.0
CACNA1G,1.6653345369377348e-15,-2.2267539094321838,-6.394884621840903e-13,1,1,1.0
TTN,1.6653345369377348e-15,-12.432240447068011,-6.430411758628908e-13,5,5,1.0
CARD18,9.814371537686385e-14,-5.196653712772208,-6.536993168992923e-13,1,1,1.0
ADCY5,1.887379141862766e-15,-2.039662821629802,-6.776801342311957e-13,2,2,1.0
CACNA1B,1.887379141862766e-15,-2.266022158195822,-6.776801342311957e-13,3,3,1.0
TRIO,1.887379141862766e-15,-1.515799803328603,-6.785683126508958e-13,1,1,1.0
OXA1L,1.887379141862766e-15,-1.5125547869614575,-6.785683126508958e-13,1,1,1.0
RBM16,1.887379141862766e-15,-2.0087236566181432,-6.785683126508958e-13,2,2,1.0
